time [s]    Te [K]    Ta [K]    Energ_dens_at    energ_dens_e    n [m^-3]    Etot [m^-2]
 0.1000E-16    300.021    300.000       0.162      0.000     0.10001089E+17    12583.602180371
 0.1000E-13    308.666    300.000       0.162      0.000     0.11290861E+17    12583.602180371
 0.2000E-13    320.173    300.000       0.162      0.000     0.13087169E+17    12583.602180372
 0.3000E-13    335.476    300.000       0.162      0.000     0.15581304E+17    12583.602180372
 0.4000E-13    355.743    300.000       0.162      0.000     0.19036688E+17    12583.602180373
 0.5000E-13    382.355    300.000       0.162      0.000     0.23813185E+17    12583.602180374
 0.6000E-13    416.842    300.000       0.162      0.000     0.30401277E+17    12583.602180376
 0.7000E-13    460.727    300.000       0.162      0.000     0.39467919E+17    12583.602180378
 0.8000E-13    515.267    300.000       0.162      0.000     0.51917933E+17    12583.602180381
 0.9000E-13    581.080    300.000       0.162      0.000     0.68975996E+17    12583.602180386
 0.1000E-12    657.736    300.000       0.162      0.000     0.92295862E+17    12583.602180392
 0.1100E-12    743.451    300.000       0.162      0.000     0.12410551E+18    12583.602180400
 0.1200E-12    835.059    300.000       0.162      0.000     0.16739955E+18    12583.602180411
 0.1300E-12    928.394    300.000       0.162      0.000     0.22619372E+18    12583.602180426
 0.1400E-12   1019.003    300.000       0.162      0.000     0.30586047E+18    12583.602180446
 0.1500E-12   1102.966    300.000       0.162      0.000     0.41357072E+18    12583.602180473
 0.1600E-12   1177.504    300.000       0.162      0.000     0.55887360E+18    12583.602180510
 0.1700E-12   1241.214    300.000       0.162      0.000     0.75445549E+18    12583.602180560
 0.1800E-12   1293.936    300.000       0.162      0.000     0.10171315E+19    12583.602180626
 0.1900E-12   1336.409    300.000       0.162      0.000     0.13691370E+19    12583.602180716
 0.2000E-12   1369.886    300.000       0.162      0.000     0.18398063E+19    12583.602180835
 0.2100E-12   1395.805    300.000       0.162      0.000     0.24677481E+19    12583.602180995
 0.2200E-12   1415.581    300.000       0.162      0.000     0.33036594E+19    12583.602181207
 0.2300E-12   1430.480    300.000       0.162      0.000     0.44139535E+19    12583.602181489
 0.2400E-12   1441.573    300.000       0.162      0.000     0.58854288E+19    12583.602181862
 0.2500E-12   1449.733    300.000       0.162      0.000     0.78312590E+19    12583.602182356
 0.2600E-12   1455.651    300.000       0.162      0.000     0.10398661E+20    12583.602183008
 0.2700E-12   1459.867    300.000       0.162      0.000     0.13778685E+20    12583.602183866
 0.2800E-12   1462.794    300.000       0.162      0.000     0.18218681E+20    12583.602184993
 0.2900E-12   1464.747    300.000       0.162      0.000     0.24038137E+20    12583.602186470
 0.3000E-12   1465.967    300.000       0.162      0.000     0.31648740E+20    12583.602188402
 0.3100E-12   1466.634    300.000       0.162      0.000     0.41579733E+20    12583.602190923
 0.3200E-12   1466.882    300.000       0.162      0.000     0.54509870E+20    12583.602194205
 0.3300E-12   1466.816    300.000       0.162      0.000     0.71307596E+20    12583.602198470
 0.3400E-12   1466.511    300.000       0.162      0.000     0.93081423E+20    12583.602203997
 0.3500E-12   1466.026    300.000       0.162      0.000     0.12124293E+21    12583.602211146
 0.3600E-12   1465.405    300.000       0.162      0.000     0.15758536E+21    12583.602220371
 0.3700E-12   1464.680    300.000       0.162      0.000     0.20438137E+21    12583.602232251
 0.3800E-12   1463.878    300.000       0.162      0.000     0.26450436E+21    12583.602247513
 0.3900E-12   1463.018    300.000       0.162      0.000     0.34157860E+21    12583.602267079
 0.4000E-12   1462.113    300.000       0.162      0.000     0.44016450E+21    12583.602292106
 0.4100E-12   1461.177    300.000       0.162      0.000     0.56598668E+21    12583.602324047
 0.4200E-12   1460.218    300.000       0.162      0.000     0.72621396E+21    12583.602364722
 0.4300E-12   1459.243    300.000       0.162      0.000     0.92980217E+21    12583.602416404
 0.4400E-12   1458.259    300.000       0.162      0.000     0.11879127E+22    12583.602481928
 0.4500E-12   1457.270    300.000       0.162      0.000     0.15144220E+22    12583.602564817
 0.4600E-12   1456.282    300.000       0.162      0.000     0.19265407E+22    12583.602669438
 0.4700E-12   1455.298    300.000       0.162      0.000     0.24455629E+22    12583.602801198
 0.4800E-12   1454.322    300.000       0.162      0.000     0.30977715E+22    12583.602966771
 0.4900E-12   1453.358    300.000       0.162      0.000     0.39155277E+22    12583.603174370
 0.5000E-12   1452.410    300.000       0.162      0.000     0.49385808E+22    12583.603434088
 0.5100E-12   1451.482    300.000       0.162      0.000     0.62156348E+22    12583.603758290
 0.5200E-12   1450.578    300.000       0.162      0.000     0.78062212E+22    12583.604162088
 0.5300E-12   1449.701    300.000       0.162      0.000     0.97829276E+22    12583.604663910
 0.5400E-12   1448.857    300.000       0.162      0.000     0.12234044E+23    12583.605286173
 0.5500E-12   1448.049    300.000       0.162      0.000     0.15266695E+23    12583.606056071
 0.5600E-12   1447.282    300.000       0.162      0.000     0.19010542E+23    12583.607006523
 0.5700E-12   1446.560    300.000       0.162      0.000     0.23622129E+23    12583.608177271
 0.5800E-12   1445.886    300.000       0.162      0.000     0.29289995E+23    12583.609616182
 0.5900E-12   1445.265    300.000       0.162      0.000     0.36240651E+23    12583.611380759
 0.6000E-12   1444.700    300.000       0.162      0.000     0.44745542E+23    12583.613539917
