time [s]    Te [K]    Ta [K]    Energ_dens_at    energ_dens_e    n [m^-3]    Etot [m^-2]
 0.1000E-16    300.001    300.000       0.162      0.000     0.10000010E+17    12583.602180371
 0.1000E-13    300.291    300.000       0.162      0.000     0.10011751E+17    12583.602180371
 0.2000E-13    300.690    300.000       0.162      0.000     0.10028104E+17    12583.602180371
 0.3000E-13    301.238    300.000       0.162      0.000     0.10050810E+17    12583.602180371
 0.4000E-13    301.990    300.000       0.162      0.000     0.10082267E+17    12583.602180371
 0.5000E-13    303.023    300.000       0.162      0.000     0.10125751E+17    12583.602180371
 0.6000E-13    304.439    300.000       0.162      0.000     0.10185728E+17    12583.602180371
 0.7000E-13    306.378    300.000       0.162      0.000     0.10268269E+17    12583.602180371
 0.8000E-13    309.025    300.000       0.162      0.000     0.10381613E+17    12583.602180371
 0.9000E-13    312.627    300.000       0.162      0.000     0.10536909E+17    12583.602180371
 0.1000E-12    317.513    300.000       0.162      0.000     0.10749214E+17    12583.602180371
 0.1100E-12    324.108    300.000       0.162      0.000     0.11038812E+17    12583.602180372
 0.1200E-12    332.967    300.000       0.162      0.000     0.11432969E+17    12583.602180372
 0.1300E-12    344.787    300.000       0.162      0.000     0.11968247E+17    12583.602180373
 0.1400E-12    360.435    300.000       0.162      0.000     0.12693562E+17    12583.602180373
 0.1500E-12    380.951    300.000       0.162      0.000     0.13674203E+17    12583.602180374
 0.1600E-12    407.529    300.000       0.162      0.000     0.14997115E+17    12583.602180375
 0.1700E-12    441.452    300.000       0.162      0.000     0.16777805E+17    12583.602180377
 0.1800E-12    483.972    300.000       0.162      0.000     0.19169371E+17    12583.602180379
 0.1900E-12    536.107    300.000       0.162      0.000     0.22374264E+17    12583.602180382
 0.2000E-12    598.377    300.000       0.162      0.000     0.26659564E+17    12583.602180386
 0.2100E-12    670.510    300.000       0.162      0.000     0.32376794E+17    12583.602180391
 0.2200E-12    751.216    300.000       0.162      0.000     0.39987534E+17    12583.602180398
 0.2300E-12    838.134    300.000       0.162      0.000     0.50096456E+17    12583.602180408
 0.2400E-12    928.031    300.000       0.162      0.000     0.63493830E+17    12583.602180420
 0.2500E-12   1017.252    300.000       0.162      0.000     0.81210060E+17    12583.602180436
 0.2600E-12   1102.292    300.000       0.162      0.000     0.10458550E+18    12583.602180458
 0.2700E-12   1180.318    300.000       0.162      0.000     0.13535960E+18    12583.602180486
 0.2800E-12   1249.475    300.000       0.162      0.000     0.17578439E+18    12583.602180524
 0.2900E-12   1308.941    300.000       0.162      0.000     0.22876870E+18    12583.602180572
 0.3000E-12   1358.769    300.000       0.162      0.000     0.29806079E+18    12583.602180636
 0.3100E-12   1399.636    300.000       0.162      0.000     0.38847925E+18    12583.602180720
 0.3200E-12   1432.571    300.000       0.162      0.000     0.50620392E+18    12583.602180828
 0.3300E-12   1458.742    300.000       0.162      0.000     0.65914175E+18    12583.602180969
 0.3400E-12   1479.300    300.000       0.162      0.000     0.85738538E+18    12583.602181152
 0.3500E-12   1495.297    300.000       0.162      0.000     0.11137869E+19    12583.602181388
 0.3600E-12   1507.646    300.000       0.162      0.000     0.14446731E+19    12583.602181693
 0.3700E-12   1517.108    300.000       0.162      0.000     0.18707362E+19    12583.602182086
 0.3800E-12   1524.304    300.000       0.162      0.000     0.24181377E+19    12583.602182590
 0.3900E-12   1529.731    300.000       0.162      0.000     0.31198755E+19    12583.602183237
 0.4000E-12   1533.783    300.000       0.162      0.000     0.40174712E+19    12583.602184064
 0.4100E-12   1536.769    300.000       0.162      0.000     0.51630462E+19    12583.602185120
 0.4200E-12   1538.928    300.000       0.162      0.000     0.66218711E+19    12583.602186465
 0.4300E-12   1540.447    300.000       0.162      0.000     0.84754868E+19    12583.602188173
 0.4400E-12   1541.469    300.000       0.162      0.000     0.10825515E+20    12583.602190339
 0.4500E-12   1542.107    300.000       0.162      0.000     0.13798300E+20    12583.602193079
 0.4600E-12   1542.446    300.000       0.162      0.000     0.17550540E+20    12583.602196538
 0.4700E-12   1542.551    300.000       0.162      0.000     0.22276115E+20    12583.602200894
 0.4800E-12   1542.475    300.000       0.162      0.000     0.28214326E+20    12583.602206367
 0.4900E-12   1542.257    300.000       0.162      0.000     0.35659819E+20    12583.602213230
 0.5000E-12   1541.927    300.000       0.162      0.000     0.44974504E+20    12583.602221815
 0.5100E-12   1541.510    300.000       0.162      0.000     0.56601828E+20    12583.602232532
 0.5200E-12   1541.022    300.000       0.162      0.000     0.71083818E+20    12583.602245881
 0.5300E-12   1540.480    300.000       0.162      0.000     0.89081377E+20    12583.602262469
 0.5400E-12   1539.895    300.000       0.162      0.000     0.11139838E+21    12583.602283040
 0.5500E-12   1539.274    300.000       0.162      0.000     0.13901019E+21    12583.602308490
 0.5600E-12   1538.626    300.000       0.162      0.000     0.17309736E+21    12583.602339910
 0.5700E-12   1537.956    300.000       0.162      0.000     0.21508522E+21    12583.602378611
 0.5800E-12   1537.269    300.000       0.162      0.000     0.26669043E+21    12583.602426178
 0.5900E-12   1536.568    300.000       0.162      0.000     0.32997535E+21    12583.602484510
